,high constitutive AMPs,, other AMPs,,
TFBS,TFBS present,TFBS absent,TFBS present,TFBS absent,Bayes factor
Mad[T04378],5,0,40,0,0.18699187
f(alpha)-f(epsilon)[T00287],5,0,40,0,0.18699187
C/EBPbeta[T00017],5,0,40,0,0.18699187
GR[T00333],5,0,40,0,0.18699187
PRB[T00696],5,0,40,0,0.18699187
PRA[T01661],5,0,40,0,0.18699187
HNF-3beta[T01049],5,0,40,0,0.18699187
Tll[T00789],5,0,40,0,0.18699187
HOXA5[T00377],5,0,40,0,0.18699187
POU1F1a[T00691],5,0,40,0,0.18699187
C/EBPdelta[T00109],5,0,40,0,0.18699187
unc-86[T01882],5,0,40,0,0.18699187
VDR[T00885],5,0,40,0,0.18699187
HNF-4alpha1[T00372],5,0,40,0,0.18699187
LEF-1[T00930],4,1,28,12,0.48870326
POU2F1[T00643],5,0,40,0,0.18699187
NF-1[T00537],5,0,40,0,0.18699187
NF-1[T00539],5,0,40,0,0.18699187
POU2F2(Oct-2.1)[T00646],5,0,40,0,0.18699187
NF-1[T00535],5,0,39,1,0.210365854
C/EBPalpha[T00108],5,0,40,0,0.18699187
C/EBPbeta[T00459],5,0,40,0,0.18699187
Cutl1[T02042],5,0,40,0,0.18699187
ENKTF-1[T00255],5,0,40,0,0.18699187
Dl[T00196],5,0,40,0,0.18699187
HNF-3[T02277],5,0,40,0,0.18699187
Hb[T00395],5,0,40,0,0.18699187
C/EBPalpha[T00104],5,0,40,0,0.18699187
Prd[T00699],5,0,40,0,0.18699187
HNF-1C[T01951],5,0,40,0,0.18699187
FOXP3[T04280],5,0,40,0,0.18699187
RXR-alpha[T01345],5,0,40,0,0.18699187
Eve[T00272],5,0,40,0,0.18699187
HNF-3beta[T02513],5,0,40,0,0.18699187
Nkx6-2[T02050],5,0,40,0,0.18699187
HNF-3alpha[T02512],5,0,40,0,0.18699187
MEF-2C/delta8[T01769],5,0,40,0,0.18699187
HNF-1A[T00368],5,0,40,0,0.18699187
HNF-1B[T01950],5,0,40,0,0.18699187
DBP[T04875],5,0,40,0,0.18699187
Crx[T03461],5,0,40,0,0.18699187
Ftz[T00295],5,0,40,0,0.18699187
GR-beta[T01920],5,0,40,0,0.18699187
JunD[T00437],5,0,40,0,0.18699187
Pax-6[T00682],5,0,40,0,0.18699187
XBP-1[T00902],5,0,40,0,0.18699187
c-Jun[T00131],5,0,40,0,0.18699187
JunB[T00436],5,0,40,0,0.18699187
c-Fos[T00122],5,0,40,0,0.18699187
c-Jun[T00133],5,0,40,0,0.18699187
NHP-1[T00621],5,0,40,0,0.18699187
CREB[T00989],4,1,33,7,0.432392687
T3R-beta[T00852],5,0,40,0,0.18699187
LF-A1[T00467],5,0,40,0,0.18699187
RFX1[T01673],4,1,28,12,0.48870326
c-Myb[T00137],5,0,40,0,0.18699187
Dfd[T00193],5,0,40,0,0.18699187
GR-alpha[T00337],5,0,40,0,0.18699187
NF-AT4[T01949],5,0,40,0,0.18699187
POU2F1[T01031],5,0,40,0,0.18699187
DSXF[T00955],5,0,40,0,0.18699187
DSXM[T00956],5,0,40,0,0.18699187
Fra-1[T01208],5,0,40,0,0.18699187
TCF-3[T02857],4,1,38,2,0.680362727
GATA-1[T00306],5,0,40,0,0.18699187
GATA-2[T01302],5,0,40,0,0.18699187
COE1[T01112],5,0,40,0,0.18699187
Nkx2-1[T00857],5,0,40,0,0.18699187
WT1I[T01840],5,0,39,1,0.210365854
USF-1[T00875],5,0,40,0,0.18699187
USF1[T00874],5,0,30,10,0.703747628
Clock:Bmal1[T05866],2,3,7,33,0.88880719
E2F-1[T01542],5,0,34,6,0.396797607
WT1I-KTS[T00900],5,0,39,1,0.210365854
WT1-KTS[T01839],5,0,39,1,0.210365854
E2F-1[T01543],3,2,25,15,0.512773379
Pax-1[T00677],5,0,40,0,0.18699187
Pax-2a[T00678],5,0,40,0,0.18699187
Smad3[T04096],4,1,26,14,0.555759898
Smad4[T04292],4,1,26,14,0.555759898
NF-1(-likeproteins)[T00601],3,2,34,6,1.050096525
MF3[T00507],5,0,40,0,0.18699187
IPF1[T04362],3,2,19,21,0.586363636
TGGCA-bindingprotein[T00832],5,0,40,0,0.18699187
C/EBPalpha[T00107],5,0,40,0,0.18699187
HOXD9[T01424],5,0,40,0,0.18699187
HOXD10[T01425],5,0,40,0,0.18699187
HOXD9[T01755],5,0,40,0,0.18699187
HOXD9[T01756],5,0,40,0,0.18699187
HOXD10[T01757],5,0,40,0,0.18699187
HOXD10[T01758],5,0,40,0,0.18699187
NFI/CTF[T00094],5,0,40,0,0.18699187
POU2F1a[T00644],5,0,40,0,0.18699187
HNF-3beta[T02344],5,0,40,0,0.18699187
HNF-3alpha[T00371],5,0,40,0,0.18699187
PEA3[T00684],5,0,40,0,0.18699187
STAT4[T01577],5,0,40,0,0.18699187
c-Ets-2[T01397],5,0,40,0,0.18699187
c-Ets-1[T00112],5,0,40,0,0.18699187
c-Ets-2[T00113],5,0,40,0,0.18699187
HSF1(long)[T01042],5,0,40,0,0.18699187
HSF1(short)[T02104],5,0,40,0,0.18699187
LEF-1[T02905],5,0,39,1,0.210365854
TCF-4E[T02878],5,0,39,1,0.210365854
GR[T00335],5,0,38,2,0.237335835
AR[T00040],5,0,40,0,0.18699187
SRF[T00764],2,3,16,24,0.510494386
SRF[T00766],4,1,26,14,0.555759898
YY1[T00865],5,0,40,0,0.18699187
YY1[T00915],5,0,40,0,0.18699187
Tal-1[T01799],3,2,30,10,0.63443915
C/EBP[T01388],5,0,40,0,0.18699187
USF2[T00878],1,4,13,27,0.518623868
E47[T05421],1,4,13,27,0.518623868
E12[T00204],0,5,7,33,0.455150197
c-Fos[T00124],5,0,40,0,0.18699187
YY1[T04970],5,0,39,1,0.210365854
HOXD8[T01426],5,0,40,0,0.18699187
HOXD8[T01754],5,0,40,0,0.18699187
Gt[T00328],5,0,40,0,0.18699187
POU1F1b[T01516],5,0,40,0,0.18699187
POU1F1c[T01902],5,0,40,0,0.18699187
HES-1[T01649],5,0,40,0,0.18699187
AhR[T00018],3,2,25,15,0.512773379
AhR[T01795],3,2,25,15,0.512773379
IRF-1[T00423],5,0,39,1,0.210365854
NF-AT1[T00550],5,0,39,1,0.210365854
RXR-beta[T01349],4,1,34,6,0.442145905
NF-E4[T00560],3,2,26,14,0.521024904
NF-X3[T01514],5,0,40,0,0.18699187
GATA-3[T00311],5,0,40,0,0.18699187
NF-AT2[T01945],5,0,39,1,0.210365854
NF-AT1[T01948],5,0,39,1,0.210365854
NF-AT1[T01944],5,0,39,1,0.210365854
HMGI(Y)[T02368],5,0,36,4,0.304856698
STAT1beta[T01573],5,0,38,2,0.237335835
c-Jun[T00132],5,0,39,1,0.210365854
IPF1[T02057],5,0,37,3,0.268564234
SREBP-1c[T01562],5,0,39,1,0.210365854
Elk-1[T00250],5,0,38,2,0.237335835
PU.1[T02068],5,0,38,2,0.237335835
NF-1[T01298],5,0,40,0,0.18699187
CREMtau[T01309],5,0,40,0,0.18699187
CREMtaualpha[T01602],5,0,40,0,0.18699187
CREMtau1[T02108],5,0,40,0,0.18699187
CREMtau2[T02109],5,0,40,0,0.18699187
Nrf2:MafK[T05666],5,0,40,0,0.18699187
myogenin[T00528],5,0,40,0,0.18699187
MyoD[T00526],5,0,40,0,0.18699187
DBP[T00183],5,0,40,0,0.18699187
Adf-1[T00008],3,2,28,12,0.558518011
Ttk69K[T00843],2,3,14,26,0.521024904
HNF-3[T00370],5,0,40,0,0.18699187
NF-Y[T00150],4,1,40,0,1.682926829
NF-Y[T00613],4,1,40,0,1.682926829
Fli-1[T01408],0,5,13,27,1.134489711
Bfactor[T00061],5,0,40,0,0.18699187
CDX2[T03246],5,0,38,2,0.237335835
TBP[T00794],5,0,40,0,0.18699187
TFIID[T00820],5,0,40,0,0.18699187
TCF-1(P)[T01109],4,1,31,9,0.436323529
NF-1/L[T00599],5,0,33,7,0.455150197
Oct-B1[T00545],5,0,37,3,0.268564234
POU2F2B[T00662],5,0,37,3,0.268564234
POU2F2B[T01871],5,0,37,3,0.268564234
C/EBPalpha[T00105],5,0,40,0,0.18699187
POU5F1(Oct-5)[T00653],5,0,37,3,0.268564234
C/EBPbeta[T00581],5,0,40,0,0.18699187
POU5F1[T00651],5,0,37,3,0.268564234
POU3F1[T00656],5,0,31,9,0.606004902
POU2F1b[T01862],5,0,37,3,0.268564234
POU2F1c[T01863],5,0,37,3,0.268564234
GATA-1[T00267],5,0,39,1,0.210365854
GATA-1[T00305],5,0,39,1,0.210365854
AP-1[T00029],3,2,34,6,1.050096525
AP-1[T00032],1,4,22,18,1.357894737
c-Fos[T00123],3,2,34,6,1.050096525
RAR-gamma[T00720],4,1,37,3,0.563984892
AP-3[T01150],5,0,39,1,0.210365854
HNF-4alpha[T05287],4,1,29,11,0.465255376
DEC2[T05845],5,0,37,3,0.268564234
AML1[T01067],5,0,40,0,0.18699187
CArGbox-bindingprotein[T00078],4,1,25,15,0.601182582
SRF[T00763],4,1,25,15,0.601182582
GCM[T02302],5,0,34,6,0.396797607
GCMa[T02306],5,0,34,6,0.396797607
GCMa[T02307],5,0,34,6,0.396797607
GCMb[T02308],5,0,34,6,0.396797607
Nrf2[T01443],4,1,33,7,0.432392687
C/EBPgamma[T02028],5,0,40,0,0.18699187
Egr-3[T00243],2,3,16,24,0.510494386
Egr-3[T05889],2,3,16,24,0.510494386
Zen-1[T00917],5,0,37,3,0.268564234
Zen-2[T02099],5,0,37,3,0.268564234
HNF-6[T03296],3,2,32,8,0.775686275
AP-1[T01140],4,1,39,1,0.925609756
NF-kappaB1[T00593],0,5,28,12,36.91968326
AP-2alphaA[T00035],5,0,39,1,0.210365854
AP-2alpha[T00033],5,0,36,4,0.304856698
POU4F1(l)[T01877],5,0,39,1,0.210365854
Antp[T00026],5,0,34,6,0.396797607
NF-kappaB[T00588],5,0,39,1,0.210365854
RelA[T00594],5,0,37,3,0.268564234
PTF1-beta[T00701],4,1,29,11,0.465255376
mec-3[T01076],5,0,34,6,0.396797607
POU1F1[T00707],4,1,32,8,0.430936819
p53[T01806],5,0,29,11,0.821038899
Nkx2-1[T00856],5,0,40,0,0.18699187
NF-kappaB[T00590],3,2,32,8,0.775686275
MBP-1(1)[T00497],1,4,26,14,2.765177923
E2F[T01547],3,2,35,5,1.289592224
Pax-5[T00070],5,0,38,2,0.237335835
AhR:Arnt[T05394],2,3,17,23,0.513852901
GAGAfactor[T00301],3,2,20,20,0.558441558
Zeste[T00918],5,0,32,8,0.524112348
Zeste[T02100],5,0,32,8,0.524112348
STAT5A[T04683],5,0,39,1,0.210365854
STAT5B[T04761],5,0,34,6,0.396797607
PRB[T00697],4,1,37,3,0.563984892
RelA[T00595],4,1,33,7,0.432392687
HOXA4[T00128],5,0,40,0,0.18699187
TCF-4[T02918],3,2,28,12,0.558518011
NF-AT4[T01946],5,0,32,8,0.524112348
NF-AT3[T02462],5,0,38,2,0.237335835
SGF-3[T00746],5,0,38,2,0.237335835
PEA3[T00685],2,3,32,8,2.468092692
AP-3(2)[T00039],4,1,33,7,0.432392687
TCF-2[T01110],4,1,33,7,0.432392687
p53[T00671],5,0,38,2,0.237335835
Sp3[T02338],4,1,21,19,0.903
BTEB4[T05053],4,1,21,19,0.903
SRF(504AA)[T00765],2,3,14,26,0.521024904
Pax-5[T01201],5,0,36,4,0.304856698
BTEB3[T05051],5,0,37,3,0.268564234
AREB6[T00625],5,0,22,18,2.82991453
