,high constitutive AMPs,, other AMPs,,
TFBS,TFBS present,TFBS absent,TFBS present,TFBS absent,Bayes factor
Mad,4,0,41,0,0.219047619
f(alpha)-f(epsilon),4,0,41,0,0.219047619
C/EBPbeta,4,0,41,0,0.219047619
GR,4,0,41,0,0.219047619
PRB,4,0,41,0,0.219047619
PRA,4,0,41,0,0.219047619
HNF-3beta,4,0,41,0,0.219047619
Tll,4,0,41,0,0.219047619
HOXA5,4,0,41,0,0.219047619
POU1F1a,4,0,41,0,0.219047619
C/EBPdelta,4,0,41,0,0.219047619
unc-86,4,0,41,0,0.219047619
VDR,4,0,41,0,0.219047619
HNF-4alpha1,4,0,41,0,0.219047619
LEF-1,4,0,40,1,0.240418118
POU2F1,4,0,41,0,0.219047619
NF-1,4,0,41,0,0.219047619
POU2F2(Oct-2.1),4,0,41,0,0.219047619
C/EBPalpha,4,0,41,0,0.219047619
Cutl1,4,0,41,0,0.219047619
ENKTF-1,4,0,41,0,0.219047619
Dl,4,0,41,0,0.219047619
HNF-3,4,0,41,0,0.219047619
Hb,4,0,41,0,0.219047619
Prd,4,0,41,0,0.219047619
HNF-1C,4,0,41,0,0.219047619
FOXP3,4,0,41,0,0.219047619
RXR-alpha,4,0,41,0,0.219047619
Eve,4,0,41,0,0.219047619
Nkx6-2,4,0,41,0,0.219047619
HNF-3alpha,4,0,41,0,0.219047619
MEF-2C/delta8,4,0,41,0,0.219047619
HNF-1A,4,0,41,0,0.219047619
HNF-1B,4,0,41,0,0.219047619
DBP,4,0,41,0,0.219047619
Crx,4,0,41,0,0.219047619
Ftz,4,0,41,0,0.219047619
GR-beta,4,0,41,0,0.219047619
JunD,4,0,41,0,0.219047619
Pax-6,4,0,41,0,0.219047619
XBP-1,4,0,41,0,0.219047619
c-Jun,4,0,41,0,0.219047619
JunB,4,0,41,0,0.219047619
c-Fos,4,0,41,0,0.219047619
NHP-1,4,0,41,0,0.219047619
CREB,4,0,35,6,0.396797607
